raterParticipantId	coreRaterIntercept	coreRaterFactor1	crhCrnhRatioDifference	meanNoteScore	raterAgreeRatio	successfulRatingHelpfulCount	successfulRatingNotHelpfulCount	successfulRatingTotal	unsuccessfulRatingHelpfulCount	unsuccessfulRatingNotHelpfulCount	unsuccessfulRatingTotal	ratingsAwaitingMoreRatings	ratedAfterDecision	notesCurrentlyRatedHelpful	notesCurrentlyRatedNotHelpful	notesAwaitingMoreRatings	enrollmentState	successfulRatingNeededToEarnIn	authorTopNotHelpfulTagValues	timestampOfLastStateChange	aboveHelpfulnessThreshold	isEmergingWriter	aggregateRatingReceivedTotal	timestampOfLastEarnOut
0004C609E83EC25FAE0B176682CD3E0DE351CD836D83F810E49B943525F74E9D	0.070187144	-0.41481194			1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	35.0				4.0	5.0		1677899543974.5508	True	False		1.0
002EFDDEA15E1E242087B4BEB15B588C358F08CBA4659FE7C7CBC30A108A8612	0.08863067	-0.5532855			1.0	3.0	0.0	3.0	0.0	0.0	0.0	2.0	30.0				4.0	5.0		1677899543974.5508	True	False		1.0
003035D6FA4D8B56D1FA88C8068C4110C2626BEAB20B3AC6FD8358282BE8668E	0.1516278	-0.5520902			1.0	6.0	0.0	6.0	0.0	0.0	0.0	3.0	27.0				0.0	5.0		1677899543974.5508	True	False		1.0
00419D894C8ED5B82DC275D82336289EDBC5D09327F8952EDCA5842D2C07571F	0.2538133	-0.45197842	0.1111111111111111	0.2451716528998481	1.0	15.0	7.0	22.0	0.0	1.0	1.0	51.0	170.0	12.0	0.0	49.0	0.0	5.0	4,12	1677899543974.5508	True	False	705.0	1.0
0044E66EE89C0840B1EE9C4AAC31BF8603E01D550486E6615FD1942F6F9B871D	0.016817328	-0.22891545			1.0	3.0	1.0	4.0	0.0	0.0	0.0	2.0	23.0				4.0	5.0		1677899543974.5508	True	False		1.0
00523C24694430834B7A3924B9E584FAAF54088B81146EEF9FDBD54829C24865	0.24397987	0.0932198			1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	17.0				4.0	5.0		1677899543974.5508	True	False		1.0
0058C015E2287438D72988C597AD9B25D0F33050E67949AD55AD10B703E028A5	0.25273553	-0.09699463			1.0	2.0	1.0	3.0	0.0	0.0	0.0	1.0	16.0				4.0	5.0		1677899543974.5508	True	False		1.0
0058F7E7ADC20ACD2CC0F2AD90AAAD0A669DA3DB2789EBC4F45981FADD3939B9	0.15592727	0.094014324			1.0	3.0	0.0	3.0	0.0	0.0	0.0	2.0	57.0				4.0	5.0		1677899543974.5508	True	False		1.0
005D3079642BDAF7DE4E03D4941DA4AA612224D99A7CA3FACA12854249AA2873	0.08659645	-0.4187908	0.0	0.22913524508476257	0.9565217391304348	20.0	9.0	29.0	2.0	0.0	2.0	13.0	191.0	0.0	0.0	1.0	0.0	5.0	4,6	1677899543974.5508	True	False	22.0	1.0
006293F851A78A510A02B6746FF9DD44EC9D2FCF0C4D0EB001A87F9A70197587	0.06726231	-0.26951498			1.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	6.0				4.0	5.0		1677899543974.5508	True	False		1.0
00629A0D04780DE1CF3F72941B4EA0D0FCD0D855B970E916296AD42CA5E7FD67	0.04425067	-0.28829405			1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	12.0				4.0	5.0		1677899543974.5508	True	False		1.0
007B28D9923C73B67EA9227BCAF69B98540AFE5621652B6768DE80A94396DA9A	0.0890528	0.4918565	0.0	0.08621746301651001	1.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	17.0	1.0	1.0	2.0	4.0	5.0	2,11	1677899543974.5508	True	False	50.0	1.0
007F23F3456702E680D70E0B5AD90ABD357F5688975DC6C57F4BAD3B99CBC6CF	0.23309675	0.6109404			1.0	6.0	4.0	10.0	0.0	0.0	0.0	6.0	97.0				0.0	5.0		1677899543974.5508	True	False		1.0
008DEB260E6038CCA06140BEF07B506811E577E4871B46B3A083BCE9B6875225	0.18210483	-0.15661703			1.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	20.0				4.0	5.0		1677899543974.5508	True	False		1.0
008FE7CBCD63A6957C762DFB8379E9D766BBA960EAC7EAB2DDA318B5095F5FE1	0.13648207	0.47825983	0.0	0.15994225740432738	1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	21.0	0.0	0.0	10.0	4.0	5.0	2,4	1677899543974.5508	True	False	138.0	1.0
0097C32B4C739467556C3096A0542B2301B756CE6A4C761A1A926FEC754C4F76	0.025602084	0.2634248			1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	14.0				4.0	5.0		1677899543974.5508	True	False		1.0
009A27E96E924107B2321952DF7D100E7274FD88A6E77A48128E0D00AD141055	0.10526128	-0.40696612			1.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	10.0				4.0	5.0		1677899543974.5508	True	False		1.0
009C96E7C40C2216DC3ECA033B8DAE7C74C9A4BC62966E14337F1D408AC98D59	0.17853846	-0.16261928			1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	24.0				4.0	5.0		1677899543974.5508	True	False		1.0
00A64E4AD6C0075D325598F0ACED3D41755526470A240F59A239DDC386286581	0.17913432	-0.35430017			1.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0	26.0				4.0	5.0		1677899543974.5508	True	False		1.0
00C9F868066DACDE6507C385B2EE8E1909BD6EC87B8AC80D98962BA4F7528018	0.16926512	0.59650296			1.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	78.0				4.0	5.0		1677899543974.5508	True	False		1.0
00CE8661F0B3C4785509CF7BCE66C6FF56D00B075194E9A9954BFE18C689BD63	0.12618071	-0.3908534			1.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	20.0				4.0	5.0		1677899543974.5508	True	False		1.0
